#,このファイルは毎木データのエラーチェックに使う各調査区のmesh_xcord/mesh_ycordの組み合わせのリストです。,
plotid,mesh_xcord,mesh_ycord
HD-DB1,10,10
HD-DB1,10,20
HD-DB1,10,30
HD-DB1,10,40
HD-DB1,10,50
HD-DB1,10,60
HD-DB1,10,70
HD-DB1,10,80
HD-DB1,10,90
HD-DB1,10,100
HD-DB1,10,110
HD-DB1,20,0
HD-DB1,20,10
HD-DB1,20,20
HD-DB1,20,30
HD-DB1,20,40
HD-DB1,20,50
HD-DB1,20,60
HD-DB1,20,70
HD-DB1,20,80
HD-DB1,20,90
HD-DB1,20,100
HD-DB1,20,110
HD-DB1,30,0
HD-DB1,30,10
HD-DB1,30,20
HD-DB1,30,30
HD-DB1,30,40
HD-DB1,30,50
HD-DB1,30,60
HD-DB1,30,70
HD-DB1,30,80
HD-DB1,30,90
HD-DB1,30,100
HD-DB1,30,110
HD-DB1,40,0
HD-DB1,40,10
HD-DB1,40,20
HD-DB1,40,30
HD-DB1,40,40
HD-DB1,40,50
HD-DB1,40,60
HD-DB1,40,70
HD-DB1,40,80
HD-DB1,40,90
HD-DB1,40,100
HD-DB1,40,110
HD-DB1,50,0
HD-DB1,50,10
HD-DB1,50,20
HD-DB1,50,30
HD-DB1,50,40
HD-DB1,50,50
HD-DB1,50,60
HD-DB1,50,70
HD-DB1,50,80
HD-DB1,50,90
HD-DB1,50,100
HD-DB1,50,110
HD-DB1,60,0
HD-DB1,60,10
HD-DB1,60,20
HD-DB1,60,30
HD-DB1,60,40
HD-DB1,60,50
HD-DB1,60,60
HD-DB1,60,70
HD-DB1,60,80
HD-DB1,60,90
HD-DB1,60,100
HD-DB1,60,110
HD-DB1,70,20
HD-DB1,70,30
HD-DB1,70,40
HD-DB1,70,50
HD-DB1,80,20
HD-DB1,80,30
HD-DB1,80,40
HD-DB1,80,50
HD-DB1,90,20
HD-DB1,90,30
HD-DB1,90,40
HD-DB1,90,50
HD-DB1,100,20
HD-DB1,100,30
HD-DB1,100,40
HD-DB1,100,50
HY-EC1,0,0
HY-EC1,0,10
HY-EC1,0,20
HY-EC1,0,30
HY-EC1,0,40
HY-EC1,0,50
HY-EC1,0,60
HY-EC1,0,70
HY-EC1,0,80
HY-EC1,0,90
HY-EC1,0,100
HY-EC1,0,110
HY-EC1,0,120
HY-EC1,10,0
HY-EC1,10,10
HY-EC1,10,20
HY-EC1,10,30
HY-EC1,10,40
HY-EC1,10,50
HY-EC1,10,60
HY-EC1,10,70
HY-EC1,10,80
HY-EC1,10,90
HY-EC1,10,100
HY-EC1,10,110
HY-EC1,10,120
HY-EC1,20,0
HY-EC1,20,10
HY-EC1,20,20
HY-EC1,20,30
HY-EC1,20,40
HY-EC1,20,50
HY-EC1,20,60
HY-EC1,20,70
HY-EC1,20,80
