name_jp,name_jp_std,name_greenlist,match_type,status,name_gbif_accepted,species,genus,family,order,species_jp,family_jp,order_jp,categ,categ2,categ3,categ4,categ5,categ6,fruit_type,remarks
ヒサカキ,,Eurya japonica Thunb. var. japonica,EXACT,accepted,Eurya japonica var. japonica,Eurya japonica var. japonica,Eurya,Pentaphylacaceae,Ericales,ヒサカキ,モッコク科,ツツジ目,4,4,1,5,5,3,液果,use gbif name
モッコク,,Ternstroemia gymnanthera (Wight et Arn.) Bedd.,EXACT,accepted,Ternstroemia gymnanthera Sprague,Ternstroemia gymnanthera,Ternstroemia,Pentaphylacaceae,Ericales,モッコク,モッコク科,ツツジ目,4,4,1,5,5,3,さく果,use gbif name
ヤブコウジ,,Ardisia japonica (Thunb.) Blume var. japonica,HIGHERRANK,accepted,Ardisia japonica Blume,Ardisia japonica  var. japonica,Ardisia,Primulaceae,Ericales,ヤブコウジ,サクラソウ科,ツツジ目,,,1,,5,3,核果,use greenlist name
シシアクチ,,Ardisia quinquegona Blume,EXACT,accepted,Ardisia quinquegona Blume,Ardisia quinquegona,Ardisia,Primulaceae,Ericales,シシアクチ,サクラソウ科,ツツジ目,4,4,1,5,5,3,核果,use gbif name
イズセンリョウ,,Maesa japonica (Thunb.) Moritzi et Zoll.,EXACT,accepted,Maesa japonica Moritzi ex Zoll.,Maesa japonica,Maesa,Primulaceae,Ericales,イズセンリョウ,サクラソウ科,ツツジ目,,,1,,5,3,液果,use gbif name
タイミンタチバナ,,Myrsine seguinii H.Lév.,EXACT,accepted,Myrsine seguinii H.Lév.,Myrsine seguinii,Myrsine,Primulaceae,Ericales,タイミンタチバナ,サクラソウ科,ツツジ目,4,4,1,5,5,3,核果,use gbif name
オオバアサガラ,,Pterostyrax hispida Siebold et Zucc.,FUZZY,accepted,Pterostyrax hispidus Siebold & Zucc.,Pterostyrax hispidus,Pterostyrax,Styracaceae,Ericales,オオバアサガラ,エゴノキ科,ツツジ目,4,4,1,4,4,3,その他,use gbif name
エゴノキ,,Styrax japonicus Siebold et Zucc. var. japonicus,EXACT,synonym,Styrax japonicus Siebold & Zucc.,Styrax japonicus var. japonicus,Styrax,Styracaceae,Ericales,エゴノキ,エゴノキ科,ツツジ目,4,4,1,4,4,3,その他,use greenlist name
チシャノキ,,Ehretia acuminata R.Br. var. obovata (Lindl.) I.M.Johnst.,HIGHERRANK,accepted,Ehretia acuminata R.Br.,Ehretia acuminata,Ehretia,Ehretiaceae,Boraginales,チシャノキ,チシャノキ科,ムラサキ目,4,4,1,4,4,3,核果,use gbif name
ハクウンボク,,Styrax obassia Siebold et Zucc.,EXACT,accepted,Styrax obassia Siebold & Zucc.,Styrax obassia,Styrax,Styracaceae,Ericales,ハクウンボク,エゴノキ科,ツツジ目,4,4,1,4,4,3,その他,use gbif name
カンザブロウノキ,,Symplocos theophrastifolia Siebold et Zucc.,EXACT,synonym,Symplocos cochinchinensis subsp. laurina (Retz.) Noot.,Symplocos cochinchinensis subsp. laurina,Symplocos,Symplocaceae,Ericales,カンザブロウノキ,ハイノキ科,ツツジ目,4,4,1,5,5,3,核果,use gbif name
ミミズバイ,,Symplocos glauca (Thunb.) Koidz.,EXACT,accepted,Symplocos glauca Koidz.,Symplocos glauca,Symplocos,Symplocaceae,Ericales,ミミズバイ,ハイノキ科,ツツジ目,4,4,1,5,5,3,核果,use gbif name
クロキ,,Symplocos kuroki Nagam.,EXACT,accepted,Symplocos kuroki Nagam.,Symplocos kuroki,Symplocos,Symplocaceae,Ericales,クロキ,ハイノキ科,ツツジ目,4,4,1,5,5,3,核果,use gbif name
シロバイ,,Symplocos lancifolia Siebold et Zucc.,EXACT,accepted,Symplocos lancifolia Siebold & Zucc.,Symplocos lancifolia,Symplocos,Symplocaceae,Ericales,シロバイ,ハイノキ科,ツツジ目,4,4,1,5,5,3,核果,use gbif name
